Полное название	Сокращенное название
Абхазский	Абх
Адыгейский	Адыг
Азербайджанский	Азерб
Албанский	Алб
Алтайский	Алт
Английский	Англ
Арабский	Араб
Армянский	Арм
Ассамский	Ассам
Афганский	см.Пушту
Африкаанс	Африкаанс
Башкирский	Башк
Белорусский	Белорус
Бенгальский	Бенг
Бирманский	Бирм
Болгарский	Болг
Бурский	см. Африкаанс
Бурятский	Бурят
Валлийский(Уэльский)	Вал
Венгерский	Венг
Вьетнамский	Вьет
Вотяцкий	см.Удмуртский
Голландский	см. Нидерландский
Греческий (новогреческий)	Греч
Грузинский	Груз
Гуджарати	Гуджарати
Датский	Дат
Иврит	Иврит
Ингушский	Ингуш
Индонезийский	Индонез
Интерлингва	Интерлингва
Ирландский	Ирл
Испанский	Исп
Исландский	Исл
Итальянский	Итал
Кабардино-черкесский	Кабар.-черкес
Казахский	Каз
Калмыцкий	Калм
Каталанский	Катал
Киргизский	Кирг
Китайский	Кит
Коми	Коми
Корейский	Кор
Кхмерский	Кхмер
Лаосский	Лаос
Латинский	Латин
Латышский	Латыш
Литовский	Лит
Македонский	Макед
Малайский	Мал
Молдавский	Молд
Монгольский	Монг
Немецкий	Нем
Непальский	Непал
Нидерландский (Голландский)	Нидерл
Новогреческий	см.Греческий
Норвежский	Норв
Панджаби	Панджаби
Персидский	Перс
Польский	Пол
Португальский	Португ
Пушту	Пушту
Ретороманский	Ретором
Румынский	Рум
Русский	Русс
Самоанский	Самоан
Сербский	Серб
Сербскохорватский (на кириллице)	см. Сербский
Сербскохорватский (на латинице)	см. Хорватский
Словацкий	Словац
Словенский	Слов
Суахили	Суахили
Таджикский	Тадж
Татарский	Тат
Тибетский	Тибет
Тувинский	Тув
Тунгусский	см. Эвенкийский
Турецкий	Тур
Туркменский	Туркм
Удмуртский (Вотяцкий)	Удмурт
Узбекский	Узб
Уйгурский	Уйгур
Украинский	Укр
Урду	Урду
Уэльский	см. Валлийский
Фарерский	Фар
Финский	Фин
Фламандский	см. Нидерландский
Французский	Фр
Хинди	Хинди
Хорватский	Хорват
Чеченский	Чеч
Чешский	Чеш
Чувашский	Чуваш
Шведский	Швед
Эвенкийский (Тунгусский)	Эвенк
Эсперанто	Эсперанто
Эстонский	Эст
Якутский	Якут
Японский	Яп
